image_number, latitude, longitude, altitude
0000000000, 39.39143732509495, -119.76796949740705, 1451.8780663689831
0000000001, 39.391358630436, -119.76791279244506, 1458.7819094923325
0000000002, 39.391321528107824, -119.76780627507338, 1457.1511366722407
0000000003, 39.391237445949265, -119.76776447404868, 1453.9858926362358
0000000004, 39.39115516805208, -119.76781453558242, 1453.7417653929442
0000000005, 39.39107528411663, -119.76787076204046, 1453.5841646799818
0000000006, 39.39099171398751, -119.76782443273281, 1451.3670254179742
0000000007, 39.3909521347087, -119.7677186381618, 1448.8829263173975
0000000008, 39.3909177785473, -119.76760971832127, 1446.8646188592538
0000000009, 39.39088614032218, -119.76750056164502, 1444.216572306119
0000000010, 39.39088144387935, -119.7673830720167, 1443.1115812866483
0000000011, 39.390920553234864, -119.76727503322515, 1441.7723145028576
0000000012, 39.39098555110801, -119.76719333055469, 1440.711661938578
0000000013, 39.39106336154182, -119.76712956059002, 1439.8819945743307
0000000014, 39.391145938697065, -119.76708251083738, 1439.203180984594
0000000015, 39.391233402597884, -119.76704718728428, 1438.5606999453157
0000000016, 39.39132204541476, -119.76701864083189, 1437.9431495703757
0000000017, 39.39141144225737, -119.76699550108155, 1437.4491176232696
0000000018, 39.39150316632156, -119.76697471479038, 1437.131543489173
0000000019, 39.39159594526329, -119.76695924085948, 1436.6701662363485
0000000020, 39.39168830401366, -119.76695200336799, 1436.2382921716198
0000000021, 39.391781354683566, -119.76695370508779, 1435.6090320488438
0000000022, 39.39187328875898, -119.7669633381995, 1434.727968619205
0000000023, 39.391963210181586, -119.76698340233824, 1433.6059646839276
0000000024, 39.39205195558451, -119.76700873196746, 1432.400748259388
0000000025, 39.392136829164635, -119.76705037774111, 1431.2564269006252
0000000026, 39.39221983658586, -119.76709912970313, 1430.375509689562
0000000027, 39.392302428586056, -119.76714579650971, 1429.4994867844507
0000000028, 39.39238332213497, -119.76719755759554, 1428.482805153355
0000000029, 39.39246921539105, -119.76715594619118, 1427.6914028823376
0000000030, 39.39252493882499, -119.76706146370763, 1426.960752280429
0000000031, 39.39257535500815, -119.76695968814708, 1426.428060011007
0000000032, 39.39262299089122, -119.76686058600541, 1425.9805622082204
0000000033, 39.392672969221266, -119.766756060245, 1425.6211564401165
0000000034, 39.392722879163415, -119.76665250038198, 1425.2954871635884
0000000035, 39.392771649520675, -119.76654950838092, 1425.006964880973
0000000036, 39.39282145975398, -119.76644825134285, 1424.8195297885686
0000000037, 39.392871613314476, -119.7663504388356, 1424.7074655946344
0000000038, 39.39292616014062, -119.76624871442816, 1424.500059506856
0000000039, 39.39297789347322, -119.76615047570799, 1424.4175959341228
0000000040, 39.39302919197397, -119.76604856579881, 1424.5800691386685
0000000041, 39.39308207440972, -119.76594389065197, 1424.5012169051915
0000000042, 39.393132326253706, -119.76584469111692, 1424.3472840432078
0000000043, 39.39318403573197, -119.76574354929427, 1424.1651705093682
0000000044, 39.39323720957784, -119.76564046094741, 1423.7622339632362
0000000045, 39.393291648759124, -119.76553613693996, 1423.232974698767
0000000046, 39.39334667734016, -119.76543205800735, 1422.6113570770249
0000000047, 39.39340165486562, -119.76532726995433, 1421.965438569896
0000000048, 39.393455503218604, -119.76522279015445, 1421.311493838206
0000000049, 39.39350937359968, -119.76511755668368, 1420.6556547097862
0000000050, 39.393563636028915, -119.76501255931312, 1420.070462920703
0000000051, 39.39361390727794, -119.76491563454566, 1419.6150074079633
0000000052, 39.39366754350777, -119.76480975776705, 1419.0691078910604
0000000053, 39.39371770726335, -119.76471177323569, 1418.5753868008032
0000000054, 39.39376738216501, -119.76461302671527, 1418.1451429445297
0000000055, 39.39381713004182, -119.76451365244877, 1417.7484493572265
0000000056, 39.393866358067505, -119.76441408325846, 1417.3605996770784
0000000057, 39.39391626035282, -119.76431402008569, 1416.9327184502035
0000000058, 39.39396550695426, -119.76421363108632, 1416.6045094691217
0000000059, 39.394015576897154, -119.7641125189068, 1416.293547641486
0000000060, 39.39406511305969, -119.76401127220744, 1415.950900745578
0000000061, 39.394116200933425, -119.7639097009513, 1415.5125572467223
0000000062, 39.39416560779929, -119.76380791050192, 1415.1929938029498
0000000063, 39.3942156811172, -119.76370590079547, 1414.8786718314514
0000000064, 39.39426566165896, -119.76360458684724, 1414.5958282444626
0000000065, 39.39431591218422, -119.76350400933032, 1414.212312613614
0000000066, 39.39436569940008, -119.76340321409738, 1413.9490373739973
0000000067, 39.394415446844505, -119.76330290748605, 1413.6628076862544
0000000068, 39.394465089739015, -119.76320210254869, 1413.3747287942097
0000000069, 39.39451529852342, -119.76310200483404, 1413.0077600525692
0000000070, 39.394564439724995, -119.76300269870202, 1412.6924660596997
0000000071, 39.39461321478979, -119.76290370574539, 1412.4005756881088
0000000072, 39.3946623705633, -119.76280557388213, 1412.0650861021131
0000000073, 39.39471168403599, -119.76270746464758, 1411.650864386931
0000000074, 39.394760089624796, -119.762609385598, 1411.350284865126
0000000075, 39.394812009951636, -119.76250371143082, 1411.0023582894355
0000000076, 39.394863646600086, -119.76239844487469, 1410.6791698336601
0000000077, 39.394914744575225, -119.76229342452267, 1410.3873001020402
0000000078, 39.394965503259904, -119.76218902862999, 1410.0896160770208
0000000079, 39.39501622633591, -119.7620851475351, 1409.8048277702183
0000000080, 39.39506629899258, -119.76198471174963, 1409.5300624258816
0000000081, 39.395118229785695, -119.76187990105643, 1409.2067592488602
0000000082, 39.39517016061674, -119.76177451065979, 1408.8843888239935
0000000083, 39.39522279079515, -119.7616676610096, 1408.5472382083535
0000000084, 39.395271630240565, -119.76156815146867, 1408.2763921422884
0000000085, 39.395321066152505, -119.76146813306408, 1407.9761087438092
0000000086, 39.39537177156966, -119.76136731927443, 1407.5785216642544
0000000087, 39.39542206856073, -119.76126503942004, 1407.314868840389
0000000088, 39.39547227506651, -119.76116262845136, 1407.0123087577522
0000000089, 39.39552266189702, -119.76105877540243, 1406.7815960822627
0000000090, 39.39557418950548, -119.76095430372699, 1406.4617126965895
0000000091, 39.395624624219536, -119.76084860266442, 1406.326273323968
0000000092, 39.39567568881096, -119.76074259509845, 1406.1554179936647
0000000093, 39.39572781059651, -119.76063668122787, 1405.9291023043916
0000000094, 39.39578030882284, -119.76053077210095, 1405.546323548071
0000000095, 39.39583257346907, -119.76042478444059, 1405.283745043911
0000000096, 39.395885593078724, -119.76031836957274, 1404.8640727726743
0000000097, 39.395939187147945, -119.760212420969, 1404.3026913003996
0000000098, 39.39598839068557, -119.76011477174806, 1403.7316457713023
0000000099, 39.39604273208288, -119.76000781925035, 1403.0957356030121
0000000100, 39.396092060808726, -119.75990998834396, 1402.500606045127
0000000101, 39.396141718536505, -119.75981207563136, 1401.9603766957298
0000000102, 39.396192245563576, -119.759714185212, 1401.4740058984607
0000000103, 39.39624140136603, -119.75961599165373, 1401.0587279349566
0000000104, 39.39629039378931, -119.75951803849483, 1400.5739114871249
0000000105, 39.39634353966898, -119.7594099564393, 1400.1835815245286
0000000106, 39.39639137041443, -119.75931089340811, 1399.912297961302
0000000107, 39.396440066115204, -119.75921246443345, 1399.5058851316571
0000000108, 39.3964879422797, -119.759113575138, 1399.2735978774726
0000000109, 39.39653642068183, -119.7590144520035, 1398.917587856762
0000000110, 39.39658342399684, -119.75891506933792, 1398.6478699119762
0000000111, 39.39663255742333, -119.75881571988802, 1398.2836540257558
0000000112, 39.39668102003702, -119.75871528070572, 1398.0354760969058
0000000113, 39.396730411291685, -119.7586152044444, 1397.646929374896
0000000114, 39.396778937937434, -119.75851680343497, 1397.410847085528
0000000115, 39.39682851695108, -119.75841695295574, 1397.0735679958016
0000000116, 39.396876983551856, -119.75831589665694, 1396.879543017596
0000000117, 39.396926978650924, -119.75821470805978, 1396.5164235755801
0000000118, 39.39697605475926, -119.75811163695526, 1396.2723409608006
0000000119, 39.397026054779175, -119.75801015573853, 1395.9014241034165
0000000120, 39.39707595942372, -119.75790903311074, 1395.6138107869774
0000000121, 39.39712728281784, -119.75780939816643, 1395.0328541398048
0000000122, 39.39717884078465, -119.75770962410157, 1394.4594794604927
0000000123, 39.397230589780555, -119.75760971294612, 1393.871027706191
0000000124, 39.39728223218679, -119.75750936905219, 1393.306378537789
0000000125, 39.39733385016712, -119.75740944667653, 1392.6981396283954
0000000126, 39.397384273523784, -119.75731010541071, 1392.0147658428177
0000000127, 39.397435129550765, -119.757211530047, 1391.3075014101341
0000000128, 39.39748623954544, -119.75711188429133, 1390.5548481829464
